ID,Budget_y,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue_y,Runtime,Title_y,MPAA,Running Time,Genres,Title_x,imdb_ids,Domestic Distributor,Domestic Opening,Earliest Release Date,Budget_x,domestic_revenue,international_revenue,worldwide_revenue,Release Year,Merged Budget,Merged Revenue
102780,10000000,"[18, 14, 53]","['Drama', 'Fantasy', 'Thriller']",tt1531901,"[20782, 13241, 9987, 11752, 5122, 1898]","['WestEnd Films', 'Demarest Films', 'Lipsync Productions', 'Number 9 Films', 'Parallel Films', 'Fís Éireann/Screen Ireland']",9/9/12,89237,118,Byzantium,R,1 hr 58 min,Drama Fantasy Horror Thriller,Byzantium (2012),tt1531901,IFC Films,16643,"May 31, 2013 (United Kingdom)",0,89237,739047,828284,2012,10000000,89237
96999,0,"[10751, 18]","['Family', 'Drama']",tt1531914,[],[],4/10/12,0,94,Smitty,PG,1 hr 34 min,Drama Family,Smitty (2012),tt1531914,,,"October 18, 2012 (Austria)",0,4973,4973,,2012,100000,4973
74830,0,"[18, 35]","['Drama', 'Comedy']",tt1531930,[],[],11/18/11,0,80,The Lie,R,1 hr 20 min,Drama,The Lie (2011),tt1531930,Screen Media Films,3000,"November 18, 2011 (Domestic)",0,3000,3000,,2011,100000,3000
55347,3200000,"[18, 10749, 35]","['Drama', 'Romance', 'Comedy']",tt1532503,"[6531, 7400, 10146]","['Parts and Labor', 'Olympus Pictures', 'Focus Features']",6/9/11,14311701,105,Beginners,R,1 hr 45 min,Comedy Drama Romance,Beginners (2010),tt1532503,Focus Features,141340,"June 3, 2011 (Domestic)",3200000,5790894,8520807,14311701,2011,3200000,5790894
47755,0,"[99, 10402]","['Documentary', 'Music']",tt1534075,[],[],10/27/11,0,89,Strange Powers: Stephin Merritt and the Magnetic Fields,,1 hr 29 min,Documentary Music,Strange Powers: Stephin Merritt and the Magnetic Fields (2010),tt1534075,Variance Films,4620,"October 27, 2010 (Domestic)",0,68719,68719,,2011,100000,68719
54093,0,"[35, 18]","['Comedy', 'Drama']",tt1535101,"[70773, 8004, 5820]","['Greenroom Entertainment', 'Cinema Three', 'Generator Entertainment']",4/1/11,0,115,Killing Bono,R,1 hr 54 min,Comedy Music,Killing Bono (2011),tt1535101,,,"April 1, 2011 (United Kingdom)",0,717798,717798,,2011,100000,717798
58887,0,"[35, 10749]","['Comedy', 'Romance']",tt1535110,[],[],4/22/11,38261,93,When Harry Tries to Marry,PG-13,1 hr 33 min,Comedy Romance,When Harry Tries to Marry (2011),tt1535110,108 Pics,23790,"April 22, 2011 (Domestic)",0,35100,35100,,2011,100000,35100
82696,30000000,"[18, 35, 10749]","['Drama', 'Comedy', 'Romance']",tt1535438,"[5, 771, 1423, 4220, 21, 181992]","['Columbia Pictures', 'Mandate Pictures', 'Escape Artists', 'Management 360', 'Metro-Goldwyn-Mayer', 'Mandate International']",8/7/12,114281051,100,Hope Springs,PG-13,1 hr 40 min,Comedy Drama Romance,Hope Springs (2012),tt1535438,Sony Pictures Entertainment (SPE),14650121,"August 8, 2012 (Domestic)",0,63536011,50745040,114281051,2012,30000000,63536011
74536,15000000,"[18, 53, 80]","['Drama', 'Thriller', 'Crime']",tt1535612,[1020],['Millennium Media'],11/4/11,0,90,The Son of No One,R,1 hr 30 min,Action Crime Drama Thriller,The Son of No One (2011),tt1535612,Anchor Bay Films,18015,"October 20, 2011 (APAC, EMEA)",0,30680,1060452,1091132,2011,15000000,30680
38541,3000000,"[27, 878, 53]","['Horror', 'Science Fiction', 'Thriller']",tt1535616,"[4306, 13362, 34994, 46135, 46136, 11520]","['Instinctive Film', 'Preferred Content', 'Julijette', 'The Ink Connection', 'BR Group', 'MFM']",1/13/12,156362,112,The Divide,R,1 hr 52 min,Drama Horror Sci-Fi Thriller,The Divide (2011),tt1535616,,,"May 16, 2012 (Belgium)",0,145676,145676,,2012,3000000,145676
63493,10000000,"[18, 53]","['Drama', 'Thriller']",tt1535970,"[21897, 21898, 21899, 1208, 21901]","['Foresight Unlimited', 'VIP Media Group', 'Michael Mailer Films', 'Rising Star', 'Ledge Productions']",5/6/11,610986,101,The Ledge,R,1 hr 41 min,Drama Romance Thriller,The Ledge (2011),tt1535970,IFC Films,5176,"May 26, 2011 (Russia/CIS)",0,9216,1336655,1345871,2011,10000000,9216
80591,15000000,"[18, 10749]","['Drama', 'Romance']",tt1536048,"[57740, 7437]","['Semtex Films', 'IM Global']",9/1/11,868439,119,W.E.,R,1 hr 59 min,Drama History Romance,W.E. (2011),tt1536048,The Weinstein Company,47074,"January 20, 2012 (United Kingdom)",0,583455,1458748,2042203,2011,15000000,583455
109894,0,[18],['Drama'],tt1536374,[88554],['MMC Joule Films'],10/30/11,30655,88,Hide Away,PG-13,1 hr 28 min,Drama,Hide Away (2011),tt1536374,Joules Films,689,"May 25, 2012 (Domestic)",0,30655,30655,,2011,100000,30655
70577,15000000,"[53, 80]","['Thriller', 'Crime']",tt1536410,"[8583, 12686, 27331, 12137, 12138, 350, 6626]","['Minds Eye Entertainment', 'Forecast Pictures', 'Frantic Films Live Action Productions', 'Aura Film Partnership', 'Fierce Entertainment', 'Radar Pictures', 'Voltage Pictures']",10/25/11,0,102,Faces in the Crowd,R,1 hr 43 min,Crime Drama Mystery Romance Thriller,Faces in the Crowd (2011),tt1536410,,,"September 16, 2011 (Türkiye)",0,93759,93759,,2011,15000000,93759
