,TMDB ID,TMDB Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,TMDB Revenue,Runtime,TMDB Title,MPAA,Running Time,Genres,IMDB Title,Domestic Distributor,Domestic Opening,Earliest Release Date,IMDB Budget,IMDB Domestic Revenue,international_revenue,worldwide_revenue,Release Year,Merged Budget,Merged Revenue
928,109638,0,"[18, 10749]","['Drama', 'Romance']",tt1866269,[],[],4/26/12,0,94,The Most Fun You Can Have Dying,,1 hr 37 min,Drama,The Most Fun You Can Have Dying (2012),,,"April 26, 2012 (New Zealand)",0,71792,71792.0,,2012,100000,71792
929,136405,5300000,"[16, 12, 10751]","['Animation', 'Adventure', 'Family']",tt1867086,"[17619, 4439, 7819, 15196]","['Atlas Film', 'Digiart Productions', 'Lotte Entertainment', 'Animation Picture Company']",1/12/12,0,85,The Outback,PG,1 hr 25 min,Adventure Animation Family,Outback (2012),,,"January 12, 2012 (South Korea)",0,8106158,8106158.0,,2012,5300000,8106158
930,98339,12000000,[53],['Thriller'],tt1867093,"[11875, 11876, 11877, 4186]","['H2O Motion Pictures', '2262730 Ontario', 'Middle Child Films Inc.', 'Quickfire Films']",3/2/12,2521,90,The Samaritan,R,1 hr 30 min,Action Crime Drama Thriller,The Samaritan (2012),IFC Films,1744.0,"May 18, 2012 (Domestic)",0,2521,12699.0,15220.0,2012,12000000,2521
931,114856,0,[35],['Comedy'],tt1869671,[654],['South Pacific Pictures'],3/1/12,0,92,Sione's 2: Unfinished Business,,1 hr 32 min,Comedy,Sione's 2: Unfinished Business (2012),,,"January 19, 2012 (New Zealand)",0,1498227,1498227.0,,2012,100000,1498227
932,79327,0,"[16, 10751]","['Animation', 'Family']",tt1869724,[],[],11/7/11,0,84,The Littlest Angel,G,1 hr 24 min,Animation,The Littlest Angel (2011),,,"November 15, 2013 (Spain)",0,37273,37273.0,,2011,100000,37273
933,82631,0,[18],['Drama'],tt1870529,"[2605, 10221]","['Gran Via Productions', 'Walden Media']",9/28/12,5310554,121,Won't Back Down,PG,2 hr 1 min,Drama,Won't Back Down (2012),Twentieth Century Fox,2603370.0,"September 28, 2012 (Domestic)",0,5310554,67674.0,5378228.0,2012,100000,5310554
934,1142118,50000,[18],['Drama'],tt1870538,[202509],['Dudley Dangerous Productions'],7/1/11,50000,120,The Hidden Persuaders,,1 hr 53 min,Drama Mystery,The Hidden Persuaders (2011),,,,0,0,,,2011,100000,50000
935,84306,0,"[10749, 35, 18]","['Romance', 'Comedy', 'Drama']",tt1872818,"[7373, 10290, 66431]","['Tom Sawyer Entertainment', 'BCDF Pictures', 'Strategic Motion Ventures']",9/14/12,327345,97,Liberal Arts,PG-13,1 hr 37 min,Comedy Drama Romance,Liberal Arts (2012),IFC Films,27435.0,"September 14, 2012 (Domestic)",0,327345,823336.0,1150681.0,2012,100000,327345
936,89872,0,"[18, 10749]","['Drama', 'Romance']",tt1874633,"[162283, 162284, 146165]","['Active Fox Productions', 'JMC Independent Productions', 'The Film Community']",3/23/12,0,102,Musical Chairs,PG-13,1 hr 42 min,Drama Romance,Musical Chairs (2011),Paladin,9092.0,"March 23, 2012 (Domestic)",0,31478,31478.0,,2012,100000,31478
937,139998,0,"[35, 18]","['Comedy', 'Drama']",tt1874789,[],[],1/23/12,0,87,Supporting Characters,,1 hr 27 min,Comedy,Supporting Characters (2012),Tribeca Film,,"January 25, 2013 (Domestic)",0,4917,4917.0,,2012,100000,4917
