ids,star_2010,star_2011,star_2012,star_2013,star_2014,star_2015,star_2016,star_2017,star_2018,star_2019,star_2020,star_2021,star_2022,star_2023
101758,0,0,0,0,0,0,0,0,0,38,38,38,0,20
200063,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3475,0,0,0,0,40,40,40,0,0,0,0,0,0,0
134550,0,0,0,0,0,0,0,0,0,0,0,0,8,8
3478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134560,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200097,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36259,0,0,0,0,18,18,18,0,0,0,0,0,0,0
69028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
