,MPAA,Running Time,Genres,Title,Revenue,imdb_ids,Domestic Distributor,Domestic Opening,Earliest Release Date,Budget
196,PG-13,1 hr 36 min,Action Adventure Fantasy Thriller,Ghost Rider: Spirit of Vengeance (2011),"{'Domestic': 51774002, 'International': 80789928, 'Worldwide': 132563930}",tt1071875,Sony Pictures Entertainment (SPE),22115334.0,"February 15, 2012 (EMEA)",57000000.0
197,,1 hr 5 min,Documentary,Buffalo Girls (2012),{},tt1072756,,,,
198,,1 hr 38 min,Horror,The Reverend (2011),"{'Domestic': 366, 'International': 366}",tt1073240,,,"August 3, 2012 (United Kingdom)",
199,PG-13,2 hr 23 min,Action Adventure Thriller,Skyfall (2012),"{'Domestic': 304360277, 'International': 838111018, 'Worldwide': 1142471295}",tt1074638,Sony Pictures Entertainment (SPE),88364714.0,"October 25, 2012 (APAC, EMEA)",200000000.0
200,,33 min,Short,All Noncombatants Please Clear the Set (2012),{},tt10751170,,,,
201,PG-13,1 hr 53 min,Comedy Family Fantasy Horror,Dark Shadows (2012),"{'Domestic': 79727149, 'International': 165800000, 'Worldwide': 245527149}",tt1077368,Warner Bros.,29685274.0,"May 9, 2012 (EMEA)",150000000.0
202,R,1 hr 24 min,Action Crime Mystery Romance Thriller,The Girl from the Naked Eye (2012),{},tt1079360,,,,
203,,1 hr 31 min,Comedy Drama Family Romance,A Princess for Christmas (2011),{},tt1083448,,,,
204,R,1 hr 28 min,Comedy,Mardi Gras: Spring Break (2011),{},tt1083462,,,"July 16, 2009 (Russia/CIS)",
205,,1 hr 28 min,Comedy Fantasy,Holiday Switch (2007),{},tt1083992,,,,
206,,1 hr 27 min,Drama,The Dark Side of Love (2012),{},tt1087440,,,,
207,,1 hr 20 min,Drama Mystery,Footprints (2009),{},tt1087447,,,,
208,,1 hr 29 min,Drama Horror Thriller,Megan Is Missing (2011),{},tt1087461,,,,
209,,1 hr 47 min,Drama,Rounds (2008),{},tt1090677,,,,
210,R,1 hr 44 min,Adventure Comedy Sci-Fi,Paul (2011),"{'Domestic': 37412945, 'International': 60571070, 'Worldwide': 97984015}",tt1092026,Universal Pictures,13043310.0,"February 18, 2011 (United Kingdom)",40000000.0
211,,1 hr 34 min,Comedy,BuzzKill (2012),"{'Domestic': 5860, 'International': 5860}",tt1093355,Indican Pictures,2912.0,"January 20, 2012 (Domestic)",
212,PG-13,1 hr 29 min,Action Adventure Horror Sci-Fi Thriller,The Darkest Hour (2011),"{'Domestic': 21443494, 'International': 43183292, 'Worldwide': 64626786}",tt1093357,Summit Entertainment,2993519.0,"December 22, 2011 (APAC, EMEA)",30000000.0
213,,3 hr 46 min,Music,Transatlantic: More Never Is Enough (2011),{},tt10936752,,,,
214,,23 min,Drama Short,Between the Drops (2011),{},tt10936760,,,,
215,,18 min,Short,The Woolworths Choir of 1979 (2012),{},tt10984540,,,,
216,,1 hr 32 min,Horror Thriller,Cut/Print (2012),{},tt1106884,,,,
217,R,1 hr 31 min,Comedy,Dirty Movie (2011),{},tt1107812,,,,
218,,,Drama Short,Good God Bad Dog (2011),{},tt1107819,,,,
219,R,1 hr 30 min,Drama,Between Us (2012),"{'Domestic': 4380, 'International': 4380}",tt1109574,Monterey Media,,"June 14, 2013 (Domestic)",
220,,,Comedy Drama Romance,Driving Me Crazy: Proof of Concept (2012),{},tt1109587,,,,
221,,1 hr 25 min,Drama,The Bend (2011),{},tt1110208,,,,
222,,10 min,Short,The Apology Line (2007),{},tt1110232,,,,
223,,,Drama Music Musical,Verdi: I due Foscari (2013),{},tt11132524,,,,
224,,3 hr 28 min,Biography Documentary Music,George Harrison: Living in the Material World (2011),"{'Domestic': 156113, 'International': 156113}",tt1113829,,,"October 20, 2011 (Australia)",
225,,,Documentary,The Afterlife Investigations: The Scole Experiments (2011),{},tt11156348,,,,
226,R,1 hr 34 min,Action Thriller,Arena (2011),"{'Domestic': 4800, 'International': 4800}",tt1117581,,,"February 26, 2010 (Spain)",
227,,,Documentary,A Mormon President (2011),{},tt1120919,,,,
228,,1 hr 6 min,Adult Documentary,Ryan Sullivan's Island (2008),{},tt1123388,,,,
229,R,1 hr 41 min,Drama Thriller,The Ides of March (2011),"{'Domestic': 40962534, 'International': 35375577, 'Worldwide': 76338111}",tt1124035,Sony Pictures Entertainment (SPE),10470143.0,"October 7, 2011 (Domestic)",
230,,1 hr 36 min,Documentary,Outside the Wire: The Forgotten Children of Afghanistan (2011),{},tt1124214,,,,
231,PG-13,1 hr 35 min,Crime Drama Thriller,The Girl (2012),"{'Domestic': 35048, 'International': 35048}",tt1127883,Brainstorm Media,11164.0,"March 8, 2013 (Domestic)",
232,,2 hr 6 min,Drama Romance,Here (2011),"{'Domestic': 26743, 'International': 4685, 'Worldwide': 31428}",tt1127886,Strand Releasing,7927.0,"April 13, 2012 (Domestic)",
233,,1 hr 30 min,Comedy Crime,Dedd Brothers (2009),{},tt1127900,,,,
234,,19 min,Short,Reel/Unreel (2012),{},tt11315920,,,,
235,R,1 hr 44 min,Crime Mystery Thriller,The Factory (2012),"{'Domestic': 30640, 'International': 30640}",tt1132285,,,"May 15, 2014 (United Arab Emirates)",
236,R,1 hr 25 min,Horror,Born of Earth (2008),{},tt1132438,,,,
237,R,1 hr 34 min,Comedy Drama Romance,Lay the Favorite (2012),"{'Domestic': 20998, 'International': 1556274, 'Worldwide': 1577272}",tt1132449,RADiUS-TWC,20998.0,"June 22, 2012 (United Kingdom)",
238,,,Adventure Animation Music Short,Pedro Saieg - Campeón Mundial (2012),{},tt11328148,,,,
239,PG-13,1 hr 54 min,Action Adventure Sci-Fi,Green Lantern (2011),"{'Domestic': 116601172, 'International': 120600000, 'Worldwide': 237201172}",tt1133985,Warner Bros.,53174303.0,"June 15, 2011 (Egypt)",200000000.0
240,PG,1 hr 27 min,Animation Comedy Drama Family Horror Sci-Fi Thriller,Frankenweenie (2012),"{'Domestic': 35291068, 'International': 48956613, 'Worldwide': 84247681}",tt1142977,Walt Disney Studios Motion Pictures,11412213.0,"October 4, 2012 (EMEA)",39000000.0
241,,,Drama,Old Gold Time (2012),{},tt11437792,,,,
242,,2 hr 55 min,Romance,The Extravagant Shadows (2012),{},tt11463528,,,,
243,,1 hr 18 min,Documentary Drama History Music,Following the Ninth: In the Footsteps of Beethoven's Final Symphony (2013),{},tt1147543,,,,
244,,,Drama,I Swan (2012),{},tt11496398,,,,
245,PG,1 hr 32 min,Drama Romance,"Lovely, Still (2008)","{'Domestic': 127564, 'International': 155123, 'Worldwide': 282687}",tt1150947,Monterey Media,4584.0,"September 10, 2010 (Domestic)",
246,,,Animation,"10 Drawings for Projection, 1989-2011 (2011)",{},tt11512204,,,,
247,,1 hr 20 min,Horror Thriller,On a Dark and Stormy Night (2010),{},tt1151919,,,,
248,,1 hr 21 min,Comedy Romance,The Lawn Boy (2008),{},tt1152268,,,,
249,,1 hr 19 min,Adventure Comedy Crime,Small Timers (2011),{},tt1152286,,,,
250,PG-13,1 hr 26 min,Drama Fantasy Romance,Beastly (2011),"{'Domestic': 27865571, 'International': 15336712, 'Worldwide': 43202283}",tt1152398,CBS Films,9851102.0,"March 3, 2011 (Malaysia)",17000000.0
251,,,Adventure Reality-TV,Disney Holiday Magic with Samantha Brown (2007),{},tt1152690,,,,
252,PG-13,1 hr 34 min,Horror Sci-Fi Thriller,Super Hybrid (2010),{},tt1152827,,,,
253,,,Drama,Broken Kingdom (2012),{},tt1153693,,,,
254,R,1 hr 33 min,Drama Mystery Romance Thriller,Down the Shore (2011),"{'Domestic': 6558, 'International': 6558}",tt1155060,Anchor Bay Films,4808.0,"April 5, 2013 (Domestic)",
255,PG-13,2 hr,Thriller,A Dangerous Place (2012),{},tt1155588,,,,
256,R,1 hr 17 min,Drama Horror Mystery Thriller,Deadtime Stories: Volume 2 (2011),{},tt1156300,,,,
257,,59 min,Documentary,Permanent Change: Plastics in Architecture and Engineering (2011),{},tt11583592,,,,
258,,1 hr 30 min,Action Horror Thriller,Demons Rising (2008),{},tt1159263,,,,
259,PG,1 hr 29 min,Comedy Drama Romance,Cheerful Weather for the Wedding (2012),"{'Domestic': 2651, 'International': 168271, 'Worldwide': 170922}",tt1159922,IFC Films,727.0,"August 16, 2012 (New Zealand)",
260,PG-13,1 hr 54 min,Drama Horror Mystery Thriller,The Rite (2011),"{'Domestic': 33047633, 'International': 63512958, 'Worldwide': 96560591}",tt1161864,Warner Bros.,14789393.0,"January 28, 2011 (Domestic)",37000000.0
261,,1 hr 30 min,Thriller,The Message (2012),{},tt1164982,,,,
262,,,Music,God Is Able (2010),{},tt11657382,,,,
263,,12 min,Comedy History Short,The Lion and the Unicorn (2012),{},tt11660878,,,,
264,,1 hr 15 min,Horror,Surrealistica Uniferno (2010),{},tt11670194,,,,
265,,,Horror,Allucinazione! (2011),{},tt11670276,,,,
266,,,Horror,Inside the Clock of the White Rabbit (2011),{},tt11670334,,,,
267,,,Short,Une Sensation de Vide (2011),{},tt11686696,,,,
