ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
20148,2000000,"[35, 18]","['Comedy', 'Drama']",tt0377701,"[5107, 70157, 2406, 1266, 2026, 114739, 332, 1898]","['Wide Eye Films', 'Peter Stockhaus Filmproduktion', 'FilmFörderung Hamburg', 'Octagon Films', 'FFA', 'Grosvenor Park Productions', 'Die Beauftragte der Bundesregierung für Kultur und Medien', 'Fís Éireann/Screen Ireland']",2004-07-23,33700,86,Cowboys & Angels
20200,823258,[35],['Comedy'],tt0381442,"[2612, 694, 1115, 356]","['Les Productions du Trésor', 'StudioCanal', 'M6 Films', 'TF1 Films Production']",2004-12-01,823258,105,Narco
20304,3000000,"[28, 80, 18]","['Action', 'Crime', 'Drama']",tt0354766,"[91636, 1420, 91637, 91638, 60615]","['White Orchid Films', 'ContentFilm', 'Fearon Entertainment', 'Bloodline Films', 'Visionbox Pictures']",2004-03-26,5923000,88,Never Die Alone
20483,18000000,"[10751, 28, 12]","['Family', 'Action', 'Adventure']",tt0337917,"[711, 1757, 19352, 23790, 155, 25]","['Fox 2000 Pictures', 'Mad Chance', 'Mediastream Dritte Film GmbH & Co. Beteiligungs KG', 'Splendid Productions', 'Nimbus Film', '20th Century Fox']",2004-02-06,16951702,92,Catch That Kid
20912,8000000,"[35, 18]","['Comedy', 'Drama']",tt0384533,[4319],['40 Acres and a Mule Filmworks'],2004-07-30,1465134,139,She Hate Me
21301,18000000,"[35, 18]","['Comedy', 'Drama']",tt0337579,"[21, 2780]","['Metro-Goldwyn-Mayer', 'Cube Vision']",2004-01-20,65070412,106,Barbershop 2: Back in Business
54807,6000000,"[18, 10751]","['Drama', 'Family']",tt0277895,[],[],2004-04-30,293793,90,Mickey
23520,20000000,"[28, 53]","['Action', 'Thriller']",tt0349889,"[1020, 133842]","['Millennium Media', 'Coast Productions A.V.V.']",2004-10-20,1039526,96,Unstoppable
23601,3000000,"[18, 10749]","['Drama', 'Romance']",tt0361309,"[1450, 3102, 174]","['Front Street Productions', 'Renaissance Films', 'Warner Bros. Pictures']",2004-08-13,2037545,101,We Don't Live Here Anymore
24034,10000000,"[16, 10751, 10402, 35, 18]","['Animation', 'Family', 'Music', 'Comedy', 'Drama']",tt0350194,"[2, 3475, 133735]","['Walt Disney Pictures', 'Disney Television Animation', 'Toon City Animation']",2004-01-16,6491969,74,Teacher's Pet
57190,0,"[27, 14, 53]","['Horror', 'Fantasy', 'Thriller']",tt0337744,"[38617, 42696, 3244]","['Quantum Entertainment', 'Basra Entertainment', 'Media Pro Pictures']",2004-09-10,41176,98,Vlad
188348,500000,[99],['Documentary'],tt0427380,"[47466, 47467, 47468]","['Renegade Productions', 'Bannon Films', 'Leo McWatkins']",2004-10-01,110577,107,In the Face of Evil: Reagan's War in Word and Deed
25313,0,"[18, 10749]","['Drama', 'Romance']",tt0380609,"[11351, 28, 88582]","['Hart-Sharp Entertainment', 'Newmarket Films', 'Cinetic Media']",2004-10-15,273023,97,P.S.
25372,2400000,[35],['Comedy'],tt0374018,"[834, 1898, 21872]","['Potboiler Productions', 'Fís Éireann/Screen Ireland', 'Treasure Entertainment']",2004-10-01,2600000,85,Man About Dog
25379,12500000,"[12, 18]","['Adventure', 'Drama']",tt0313300,"[20466, 2893, 4896]","['Global Arts Productions', 'Palpable Productions', 'Galafilm']",2004-02-20,1775619,97,The Blue Butterfly
25460,7800000,[18],['Drama'],tt0396190,"[5729, 34337, 11752]","['Audley Films LLP', 'Moviefan Scandinavia A/S', 'Number 9 Films']",2004-09-17,326563,109,Return to Sender
26108,0,"[35, 10749]","['Comedy', 'Romance']",tt0368658,[35],['Lions Gate Films'],2004-09-03,776691,106,Stage Beauty
59188,10000,[99],['Documentary'],tt0978341,[],[],2004-01-24,1000000,72,Kostya Tszyu: Destiny
