id,name,known_for_dept,popularity
118459,Mark Gibbon,Acting,2.471
32750,Brian Jensen,Acting,2.216
1012400,Crawford James,Acting,0.765
37029,Peter Kent,Acting,2.824
60719,Hiro Kanagawa,Acting,6.678
1888344,Mi-Jung Lee,Acting,1.041
56522,Gillian Barber,Acting,3.416
27124,Gerard Plunkett,Acting,5.75
184573,Claire Riley,Acting,3.233
1215284,Andrew McIlroy,Acting,1.408
1235814,Norma Jean Wick,Acting,2.054
1537218,Paul Carson,Acting,0.797
1322364,Graham Andrews,Acting,0.6
75532,Benita Ha,Acting,2.644
74368,Andrea Libman,Acting,4.322
5354,Kwesi Ameyaw,Acting,4.053
1383838,Greg Bronson,Acting,1.216
1441223,Gavin Buhr,Acting,1.697
2215094,Scoot DeVille,Costume & Make-Up,0.6
1233152,Novie Edwards,Acting,3.729
4221785,Victor Formosa,Acting,0.656
1224880,Ulla Friis,Acting,1.18
106979,Anthony Harrison,Acting,1.86
1475099,Lowela Jotie,Acting,0.76
2666286,Spencer Kayden,Acting,1.4
4221811,Ian Alexander Martin,Acting,0.6
1285529,Robert Musnicki,Crew,0.6
2215124,Melissa Panton,Acting,1.252
2866775,Kristen Ross,Acting,0.6
1226430,Nikky Smedley,Acting,2.562
21159,Marianne Wibberley,Writing,3.497
2961673,Aiden Zanini,Camera,0.98
1724,Roger Spottiswoode,Directing,4.541
2461,Mel Gibson,Acting,51.361
63,Milla Jovovich,Acting,40.221
4654,Jeremy Davies,Acting,12.932
99,Amanda Plummer,Acting,8.803
4971,Bud Cort,Acting,3.945
33181,Jimmy Smits,Acting,10.153
6104,Julian Sands,Acting,16.888
1166,Harris Yulin,Acting,11.926
33688,Conrad Roberts,Acting,3.025
10825,Donal Logue,Acting,12.17
19453,Tom Bower,Acting,7.705
8535,Gloria Stuart,Acting,5.956
33689,Charlayne Woodard,Acting,3.232
1232807,Ellen Cleghorne,Acting,1.73
6396,Richard Edson,Acting,6.209
59285,Ezra Buzzington,Acting,2.027
53763,Tito Larriva,Acting,5.26
33707,David Stifel,Acting,3.3
55254,Frederique van der Wal,Acting,1.679
1887715,Roger Stoneburner,Acting,1.621
1525030,Erik Rondell,Acting,1.436
33684,Bono,Acting,3.972
44616,Monty Bane,Acting,2.518
3129,Tim Roth,Acting,15.785
1926641,Jon Hassell,Acting,0.609
2303,Wim Wenders,Directing,3.216
3317,Takeshi Kitano,Directing,10.665
4987,Omar Epps,Acting,13.981
4988,Claude Maki,Acting,10.174
4990,Susumu Terajima,Acting,3.928
4989,Masaya Kato,Acting,6.714
4991,Royale Watkins,Directing,0.733
4992,Lombardo Boyar,Acting,3.647
4994,Ryo Ishibashi,Acting,2.99
4995,James Shigeta,Acting,1.686
4996,Tatyana Ali,Acting,8.085
5063,Joseph Ragno,Acting,2.389
137029,Ren Osugi,Acting,4.808
53252,Noel Gugliemi,Acting,15.107
23915,Pat Morita,Acting,14.963
133512,Tetsuya Watari,Acting,1.787
17341,Amaury Nolasco,Acting,12.655
1298614,Joy Nakagawa,Acting,0.6
975666,Rino Katase,Acting,6.163
551764,Kōen Okumura,Acting,1.381
133886,Naomasa Musaka,Acting,3.04
553946,Makoto Ohtake,Acting,0.706
1194336,Tony Colitti,Acting,2.827
1077894,Wanda-Lee Evans,Acting,0.6
93602,Antwon Tanner,Acting,4.817
2115509,Alan Marco,Acting,0.6
154386,Dan Gunther,Acting,0.791
83781,Robert Covarrubias,Acting,2.441
1641230,Anthony Vatsula,Acting,0.6
156625,Al Vicente,Acting,4.396
553452,Bradley Jay Lesley,Acting,0.98
48071,Lobo Sebastian,Acting,3.343
63914,Tuesday Knight,Acting,2.559
1543119,Chuma Gault,Acting,1.116
9659,Peter Spellos,Acting,1.252
59232,Jack Ong,Acting,1.167
1429649,Alvin Ing,Acting,1.946
104504,John Aprea,Acting,7.895
1436376,Christopher DerGregorian,Acting,0.736
72983,Manny Pérez,Acting,3.69
1775867,Hiroshi Otaguro,Acting,0.6
102708,Darryl M. Bell,Acting,2.056
86204,Geoff Meed,Acting,8.142
43010,Thomas Rosales Jr.,Acting,5.1
1344105,Gary Cruz,Acting,0.683
3155855,Miguel Mas,Acting,0.6
200079,Erick Carrillo,Acting,0.6
1447389,Joseph Aguilar,Art,0.6
1752145,Shūhei Saga,Acting,1.4
2094493,Shoken Kunimoto,Acting,0.6
1707343,Eiji Inoue,Acting,1.297
159303,Rainbow Borden,Acting,2.704
3457294,Mike Wu,Acting,0.6
70947,Tad Horino,Acting,2.489
3457296,Don Sato,Acting,0.6
1775866,Hideo Kimura,Acting,0.74
3457298,Koyo Into,Acting,0.6
1732005,Ren Murakami,Acting,0.6
2002322,Yuji Hasegawa,Acting,0.6
1407885,Paul Feddersen,Crew,0.6
1956250,Nynno Ahli,Acting,0.98
646797,Takashi Nishina,Acting,5.496
1053956,Ryosuke Watabe,Acting,1.11
3457300,Mikage Sano,Acting,0.6
1137,Juliette Binoche,Acting,13.085
658,Alfred Molina,Acting,17.212
85,Johnny Depp,Acting,26.659
5309,Judi Dench,Acting,11.51
5320,Leslie Caron,Acting,7.658
5314,Aurelien Parent Koenig,Acting,3.886
5313,Lena Olin,Acting,14.606
8937,John Wood,Acting,2.279
5310,Antonio Gil,Acting,3.382
5311,Hélène Cardona,Acting,5.102
5312,Hugh O'Conor,Acting,3.375
5315,Victoire Thivisol,Acting,0.6
5317,Gaelan Connell,Acting,2.384
5318,Élisabeth Commelin,Acting,1.481
5319,Ron Cook,Acting,3.443
83192,Michèle Gleizer,Acting,1.22
1240821,Christianne Oliveira,Acting,1.608
1559500,Guillaume Tardieu,Acting,0.6
5316,Harrison Pratt,Acting,0.6
1559502,Marion Hauducoeur,Acting,0.6
5306,Lasse Hallström,Directing,6.172
18897,Jackie Chan,Acting,88.744
887,Owen Wilson,Acting,60.406
140,Lucy Liu,Acting,21.416
3982,Xander Berkeley,Acting,13.36
2974,Roger Yuan,Acting,2.705
